raw_data,GT Entity (low-level),Cat (normalized obs.),super category,super super cat,Final_cat
left hemidiaphragmatic elevation,elevation,elevation,growth disorder,pathophysiologic finding,LF
left hemithorax,left hemithorax,left hemithorax,,anatomy,LF
left hilar contours,contour,contour,anatomic sub-part,anatomy,LF
left hilar enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
left hilum,left hilum,left hilum,anatomical space,anatomy,LF
left hilus,left hilus,left hilum,anatomical space,anatomy,LF
left lateral pleural sinus,pleural sinus,pleural sinus,,anatomy,LF
left lower lobe,left lower lobe,left lower lobe,anatomic sub-part,anatomy,LF
left lower lobe collapse,collapse,collapse,,imaging observation,LF
left lower lung,left lower lung,left lower lung,lung zone,anatomy,LF
left lower lung collapse,collapse,collapse,,imaging observation,LF
left lower lung opacity,opacity,opacity,opacity,procedure,LF
left lung,left lung,left lung,lung zone,anatomy,LF
left lung base,left lung base,left base,anatomic sub-part,anatomy,LF
left lung hyperlucency,hyperlucency,hyperlucency,,imaging observation,LF
left mediastinal shift,shift,shift,,imaging observation,LF
left mid lung opacity,opacity,opacity,opacity,procedure,LF
left parenchymal opacities,opacities,opacity,opacity,procedure,LF
left perihilar opacity,opacity,opacity,opacity,procedure,LF
left pleural abnormality,abnormality,abnormality,abnormal,normality,LF
left pleural thickening,thickening,thickening,growth disorder,pathophysiologic finding,LF
left retrocardiac opacity,opacity,opacity,opacity,procedure,LF
left rib,left rib,left rib,bone,anatomy,LF
left sinus,left sinus,left sinus,,anatomy,LF
left superior vena cava,left superior vena cava,left superior vena cava,,anatomy,LF
left upper lobe collapse,collapse,collapse,,imaging observation,LF
left upper lobe opacity,opacity,opacity,opacity,procedure,LF
left upper lobe vessels,vessels,vessel,cardinal organ part,anatomy,LF
left upper lung,left upper lung,left upper lung,lung zone,anatomy,LF
left ventricular configuration,configuration,configuration,,imaging observation,LF
left ventricular contour,contour,contour,anatomic sub-part,anatomy,LF
left ventricular enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
left ventricular prominence,prominence,prominence,enhancement,imaging observation,LF
left-sided cardiomediastinal borders,border,border,anatomic sub-part,anatomy,LF
left-sided hemithorax,hemithorax,hemithorax,,anatomy,LF
leftward deviation of the trachea,deviation,deviation,,imaging observation,LF
leftward shift,shift,shift,,imaging observation,LF
leftward shift of mediastinal structures,shift,shift,,imaging observation,LF
lesion,lesion,lesion,enhancement,imaging observation,LF
linear densities,densities,density,,imaging observation,LF
linear density,density,density,,imaging observation,LF
linear interstitial markings,interstitial markings,interstitial marking,,imaging observation,LF
linear interstitial opacities,interstitial opacities,interstitial opacity,opacity,procedure,LF
linear lucency,lucency,lucency,,imaging observation,LF
linear opacities,opacities,opacity,opacity,procedure,LF
linear opacity,opacity,opacity,opacity,procedure,LF
linear patchy,patchy,patchy,,imaging observation,LF
linear vertical lucency,lucency,lucency,,imaging observation,LF
lingular infiltrate,infiltrate,infiltrate,enhancement,imaging observation,LF
lingular lesion,lesion,lesion,enhancement,imaging observation,LF
lingular opacity,opacity,opacity,opacity,procedure,LF
little change,change,change,,imaging observation,LF
lll collapse,collapse,collapse,,imaging observation,LF
lobar collapse,collapse,collapse,,imaging observation,LF
lobe collapse,collapse,collapse,,imaging observation,LF
lobe lung volumes,volumes,volume,measurement,imaging observation,LF
lobular thickening,thickening,thickening,growth disorder,pathophysiologic finding,LF
lobulation,lobulation,lobulation,,,LF
loculated pleural density,density,density,,imaging observation,LF
loss in lung transparency,loss in lung transparency,transparency loss,,imaging observation,LF
loss in mid thoracic vertebral body heights,loss in heights,height loss,measurement,imaging observation,LF
loss of a height of t9 vertebral body,loss of a height,height loss,measurement,imaging observation,LF
loss of height,loss of height,height loss,measurement,imaging observation,LF
loss of vertebral body height,loss of height,height loss,measurement,imaging observation,LF
loss of volume,loss of volume,volume loss,measurement,imaging observation,LF
low inspiratory volumes,inspiratory volumes,inspiratory volume,measurement,imaging observation,LF
lower lobe collapse,collapse,collapse,,imaging observation,LF
volume loss/infiltration,volume loss/infiltration,volume loss/infiltration,enhancement,imaging observation,LF
lower lobe opacities,opacities,opacity,opacity,procedure,LF
lower lungs,lower lungs,lower lung,lung zone,anatomy,LF
lower lung volumes,lower volumes,low volume,measurement,imaging observation,LF
low lung volumes,low volumes,low volume,measurement,imaging observation,LF
lower region,lower region,lower region,,anatomy,LF
lucencies,lucencies,lucency,,imaging observation,LF
lucency,lucency,lucency,,imaging observation,LF
lucent focus,focus,focus,enhancement,imaging observation,LF
lucent left hemithorax,left hemithorax,left hemithorax,,anatomy,LF
lumens opacification,opacification,opacification,opacity,procedure,LF
lungs,lungs,lung,lung zone,anatomy,LF
lung,lung,lung,lung zone,anatomy,LF
lung abnormalities,abnormalities,abnormality,abnormal,normality,LF
lung apices,lung apices,lung apices,lung zone,anatomy,LF
lung appearance,appearance,appearance,,imaging observation,LF
lung bases,lung bases,base,anatomic sub-part,anatomy,LF
lung changes,changes,change,,imaging observation,LF
lungs clear,clear,clear,,imaging observation,LF
lung collapse,collapse,collapse,,imaging observation,LF
lung fields,lung fields,lung field,lung zone,anatomy,LF
lung findings,findings,finding,,imaging observation,LF
lung markings,markings,marking,,imaging observation,LF
lung opacification,opacification,opacification,opacity,procedure,LF
lung opacities,opacities,opacity,opacity,procedure,LF
lung opacity,opacity,opacity,opacity,procedure,LF
lung parenchyma,lung parenchyma,lung parenchyma,lung zone,anatomy,LF
lung parenchymal abnormality,abnormality,abnormality,abnormal,normality,LF
lung parenchymal alterations,alterations,alteration,,,LF
lung pathology,pathology,pathology,,,LF
lung volumes,volumes,volume,measurement,imaging observation,LF
lung volume,volume,volume,measurement,imaging observation,LF
lung volume loss,volume loss,volume loss,measurement,imaging observation,LF
lymph node,lymph node,lymph node,cardinal organ part,anatomy,LF
lymph nodes,lymph nodes,lymph node,cardinal organ part,anatomy,LF
lymph node conglomerate,conglomerate,conglomerate,,,LF
lymph node enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
lytic destruction,destruction,destruction,,,LF
lytic lesions,lesions,lesion,enhancement,imaging observation,PF
main pulmonary arteries,main pulmonary arteries,pulmonary artery,,anatomy,LF
main pulmonary artery,main pulmonary artery,pulmonary artery,,anatomy,LF
main pulmonary artery contour,contour,contour,anatomic sub-part,anatomy,LF
major change,change,change,,,LF
major fissure,major fissure,major fissure,,anatomy,LF
markings,markings,marking,,,LF
mass-like opacity,opacity,opacity,opacity,procedure,LF
maximum width at the apex,maximum width,maximum width,,,LF
mediastinal abnormalities,abnormalities,abnormality,abnormal,normality,LF
mediastinal abnormality,abnormality,abnormality,abnormal,normality,LF
mediastinal and cardiac contours,contour,contour,anatomic sub-part,anatomy,LF
mediastinal and hilar contours,contours,contour,anatomic sub-part,anatomy,LF
mediastinal border,border,border,anatomic sub-part,anatomy,LF
mediastinal borders,borders,border,anatomic sub-part,anatomy,LF
mediastinal caliber,caliber,caliber,measurement,imaging observation,LF
mediastinal contours,contours,contour,anatomic sub-part,anatomy,LF
mediastinal contour,contour,contour,anatomic sub-part,anatomy,LF
mediastinal enlargement,enlargement,enlargement,growth disorder,pathophysiologic finding,LF
mediastinal hilar contours,contours,contour,anatomic sub-part,anatomy,LF
mediastinal nodes,nodes,lymph node,cardinal organ part,anatomy,LF
mediastinal prominence,prominence,prominence,enhancement,imaging observation,LF
mediastinal shift,shift,shift,,,LF
mediastinal silhouette,silhouette,silhouette,imaging sign,imaging observation,LF
mediastinal silhouettes,silhouettes,silhouette,imaging sign,imaging observation,LF
mediastinal structures,mediastinal structures,mediastinum,anatomical cluster,anatomy,LF
mediastinal vascular caliber,caliber,caliber,measurement,imaging observation,LF
mediastinal vascularity,vascularity,vascularity,,,LF
mediastinal vasculature,vasculature,vasculature,,,LF
mediastinal veins,mediastinal vein,mediastinal vein,,anatomy,LF
mediastinal venous distension,distension,distension,growth disorder,pathophysiologic finding,LF
mediastinal widening,widening,widening,growth disorder,pathophysiologic finding,LF
mediastinum,mediastinum,mediastinum,anatomical cluster,anatomy,LF
mediastinum contour,contour,contour,anatomic sub-part,anatomy,LF
midline lucency,lucency,lucency,,,LF
mildly enlarged heart,heart,heart,organ,anatomy,LF
minor fissure,minor fissure,minor fissure,,,LF
misalignment,misalignment,misalignment,,,LF
mitral annulus,mitral annulus,mitral annulus,,,LF
multifocal density,density,density,,,LF
multifocal infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
multifocal opacities,opacities,opacity,opacity,procedure,LF
multifocal parenchymal infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
multifocal pneumonic infiltrates,infiltrates,infiltrate,enhancement,imaging observation,LF
narrowing of the airway,narrowing,narrowing,,,LF
neo esophagus,neo esophagus,neoesophagus,,,LF
new opacities,opacities,opacity,opacity,procedure,LF
nipple shadow,shadow,shadow,,,LF
nipple shadows,shadows,shadow,,,LF
no relevant change,no change,no change,,,LF
no significant interval change,no change,no change,,,LF
nodular appearance,nodular appearance,nodular appearance,,,LF
nodular densities,densities,density,,,LF
nodular density,density,density,,,LF
nodular focus,focus,focus,enhancement,imaging observation,LF
nodular foci,foci,focus,enhancement,imaging observation,LF
nodular opacity,opacity,opacity,opacity,procedure,LF
nodular opacities,opacities,opacity,opacity,procedure,LF
obliteration of the bronchial lumen,obliteration,obliteration,,,LF
obscuration,obscuration,obscuration,,,LF
obscuration of left-sided diaphragm,obscuration,obscuration,,,LF
obscuration of the left border,obscuration,obscuration,,,LF
obscuration of the left heart,obscuration,obscuration,,,LF
obscuration of the left heart border,obscuration,obscuration,,,LF
obscuration of the left hemidiaphragm,obscuration,obscuration,,,LF
obscuration of the lower left cardiac border,obscuration,obscuration,,,LF
obscuration of the medial right hemidiaphragm,obscuration,obscuration,,,LF
obscuration of the pulmonary vascular markings,obscuration,obscuration,,,LF
obscuration of the right heart border,obscuration,obscuration,,,LF
obscuration of the right hemidiaphragm,obscuration,obscuration,,,LF
opacification,opacification,opacification,opacity,procedure,LF
opacifications,opacifications,opacifications,opacity,procedure,LF
opacitification,opacitification,opacitification,opacity,procedure,LF
opacity,opacity,opacity,opacity,procedure,LF
opacities,opacities,opacity,opacity,procedure,LF
